min_valence,max_valence,sum_valence,mean_valence,min_arousal,max_arousal,sum_arousal,mean_arousal,min_dominance,max_dominance,sum_dominance,mean_dominance,id,min_valence,min_arousal,min_dominance,range_valence,range_arousal,range_dominance,std_valence,std_arousal,std_dominance
0.0,0.938,5.149,0.10298,0.0,0.76,5.035,0.1007,0.0,0.74,4.412,0.08824,J4GQm9j0JZ0.003.mp4,0.198,0.18600000000000005,0.14800000000000002,0.74,0.574,0.5920000000000001,0.22310268917553494,0.19041585634370747,0.16492723163728054
0.0,0.938,7.427,0.17683333333333334,0.0,0.78,4.533,0.10792857142857143,0.0,0.779,5.955,0.1417857142857143,zEyRyTnIw5I.005.mp4,0.51,0.135,0.342,0.428,0.645,0.43700000000000006,0.14924709114376744,0.15518109921546186,0.1310657522198636
0.0,0.885,5.215,0.09657407407407408,0.0,0.596,3.221,0.05964814814814815,0.0,0.7809999999999999,4.302999999999999,0.07968518518518516,nskJh7v6v1U.004.mp4,0.326,0.2,0.37,0.5589999999999999,0.396,0.4109999999999999,0.17592572118652802,0.12016960670236047,0.15092418419524414
0.0,0.885,6.488,0.17535135135135133,0.0,0.59,3.795,0.10256756756756756,0.0,0.691,4.561,0.12327027027027028,6wHQsN5g2RM.000.mp4,0.37,0.215,0.219,0.515,0.375,0.47200000000000003,0.1721858298467095,0.12993171283408836,0.14807325889572362
0.0,0.74,6.314,0.1753888888888889,0.0,0.594,4.42,0.12277777777777778,0.0,0.7929999999999999,5.234,0.1453888888888889,dQOeQYWIgm8.000.mp4,0.375,0.27,0.295,0.365,0.32399999999999995,0.498,0.12063393160527207,0.10222507980994076,0.1568292749699599
0.0,0.765,3.037,0.11248148148148147,0.0,0.706,2.003,0.07418518518518519,0.0,0.71,2.6919999999999997,0.09970370370370372,eHcRre1YsNA.000.mp4,0.448,0.292,0.37,0.3170000000000001,0.414,0.34,0.12359870549483926,0.1554266386434449,0.1507230572938328
0.0,0.7859999999999999,7.797999999999999,0.1257741935483871,0.0,0.574,4.850999999999999,0.07824193548387096,0.0,0.735,5.98,0.0964516129032258,vZpneJlniAE.005.mp4,0.198,0.23,0.2,0.5879999999999999,0.344,0.5349999999999999,0.15612167156215356,0.10402577058953016,0.16078604991153256
0.0,0.918,11.88,0.216,0.0,0.6729999999999999,7.113,0.1293272727272727,0.0,0.8240000000000001,9.064,0.1648,oANKg9_grdA.004.mp4,0.125,0.16699999999999998,0.191,0.7929999999999999,0.506,0.633,0.20193599314812533,0.1466661109353003,0.1767165344952584
0.0,0.828,7.9270000000000005,0.22648571428571426,0.0,0.578,4.887,0.1396285714285714,0.0,0.6729999999999999,6.428999999999999,0.18368571428571429,VuadgOz6T7s.000.mp4,0.552,0.255,0.327,0.2759999999999999,0.32299999999999995,0.3459999999999999,0.08809224174440991,0.09544380982197502,0.10364372066523532
0.0,0.99,2.9339999999999997,0.12225,0.0,0.716,1.972,0.08216666666666668,0.0,0.746,2.274,0.09475,7nhJXn9PI0I.001.mp4,0.493,0.24,0.4270000000000001,0.49700000000000005,0.47600000000000003,0.31899999999999995,0.18022277880445636,0.1820851449185243,0.11423769080299198
0.0,0.8340000000000001,4.125,0.1213235294117647,0.0,0.787,2.904,0.08541176470588235,0.0,0.853,4.06,0.11941176470588236,tEQEKN07KgQ.001.mp4,0.542,0.24,0.5429999999999999,0.29200000000000004,0.547,0.31000000000000005,0.11662725524793364,0.18355108280802926,0.09145247703346017
0.0,0.93,1.67,0.20875,0.0,0.594,1.036,0.1295,0.0,0.667,1.3170000000000002,0.16462500000000002,I5x9T9ftW18.005.mp4,0.74,0.442,0.65,0.19000000000000009,0.15199999999999994,0.017000000000000015,0.09500000000000004,0.07599999999999997,0.008500000000000008
0.0,0.918,8.544,0.1275223880597015,0.0,0.61,5.731,0.08553731343283581,0.0,0.606,6.763999999999999,0.10095522388059702,dh6iOU2RtTA.003.mp4,0.354,0.24,0.287,0.564,0.37,0.319,0.15561051588199695,0.12366059953578995,0.10125629232148428
0.0,0.959,8.798,0.17595999999999998,0.0,0.725,4.953,0.09906,0.0,0.81,6.63,0.1326,gsleSGEZHAs.004.mp4,0.472,0.225,0.259,0.487,0.5,0.551,0.15542406148627338,0.17192591670057586,0.16837977907100368
0.0,0.74,1.99,0.13266666666666665,0.0,0.594,1.523,0.10153333333333334,0.0,0.667,1.7220000000000002,0.1148,vhugKRUnd-c.001.mp4,0.604,0.4,0.5,0.136,0.19399999999999995,0.16700000000000004,0.0568584988272544,0.08062395563492418,0.06948860817908695
0.0,0.802,5.079,0.211625,0.0,0.588,3.089,0.12870833333333334,0.0,0.8740000000000001,4.08,0.17,kn6I8LdQFN0.004.mp4,0.67,0.24,0.35700000000000004,0.132,0.348,0.5170000000000001,0.05462824267683503,0.10754628808858374,0.18700147331079556
0.0,0.8959999999999999,9.447000000000001,0.18894,0.0,0.594,4.863,0.09726,0.0,0.71,6.775,0.1355,Wd0V4MNvqcg.000.mp4,0.472,0.23,0.245,0.4239999999999999,0.364,0.465,0.11757379358843326,0.0998953789456443,0.15296613270623674
0.0,0.912,8.456,0.16580392156862744,0.0,0.745,5.971,0.11707843137254903,0.0,0.895,7.0699999999999985,0.13862745098039214,w_ExyXsnw2A.000.mp4,0.062,0.23,0.259,0.8500000000000001,0.515,0.636,0.22408158383280352,0.18169940714326235,0.1958114658989989
0.0,0.927,7.269,0.1580217391304348,0.0,0.6629999999999999,4.034,0.08769565217391304,0.0,0.923,5.8100000000000005,0.12630434782608696,DnTtbAR_Qyw.004.mp4,0.7290000000000001,0.28300000000000003,0.445,0.19799999999999995,0.3799999999999999,0.4779999999999999,0.06817950164414846,0.11468486074434853,0.13168912138577746
0.0,0.938,6.055,0.14081395348837208,0.0,0.765,3.3200000000000003,0.0772093023255814,0.0,0.7390000000000001,4.198,0.0976279069767442,rIHcq2E67Nc.005.mp4,0.406,0.269,0.212,0.5319999999999999,0.4960000000000001,0.5270000000000001,0.17303499465426062,0.15294770348063422,0.191339194886986
0.0,1.0,6.29,0.14295454545454545,0.0,0.7759999999999999,3.997,0.09084090909090907,0.0,0.735,4.834,0.10986363636363636,De4i7-FX9Og.004.mp4,0.245,0.24,0.267,0.755,0.5359999999999999,0.468,0.2375965041102922,0.146814655977789,0.1538126164774994
