id,flair_prob_min,flair_prob_max,flair_prob_mean,flair_prob_std,flair_prob_sum,polarity_min,polarity_max,polarity_mean,polarity_std,polarity_sum,neg_min,neg_max,neg_mean,neg_std,neg_sum,pos_min,pos_max,pos_mean,pos_std,pos_sum,compound_min,compound_max,compound_mean,compound_std,compound_sum,neu_min,neu_max,neu_mean,neu_std,neu_sum,subjectivity_min,subjectivity_max,subjectivity_mean,subjectivity_std,subjectivity_sum
--Ymqszjv54.001.mp4,0.9499999880790709,1.0,0.9806599974632264,0.019948513910142532,4.903299987316132,0.0,0.16666667,0.033333335,0.07453560000000001,0.16666667,0.0,0.203,0.040599998,0.090784356,0.203,0.0,0.556,0.13859999,0.24075672,0.69299996,-0.29600000000000004,0.3612,0.013040001,0.23304036,0.0652,0.444,1.0,0.8206,0.25714549999999997,4.103,0.0,0.56666666,0.11333333,0.25342104,0.56666666
--Ymqszjv54.003.mp4,0.0040000081062316895,0.9973000288009644,0.6529333392779032,0.5623449672415268,1.9588000178337095,0.0,0.5,0.21666667,0.25658005,0.65,0.0,0.08800000000000001,0.029333333,0.050806824,0.08800000000000001,0.0,0.127,0.042333335,0.07332349,0.127,0.0,0.2006,0.06686666599999999,0.11581647,0.2006,0.785,1.0,0.92833334,0.124130294,2.785,0.4,0.6,0.5,0.10000001,1.5
--Ymqszjv54.004.mp4,0.000299990177154541,0.9986000061035156,0.2849999964237213,0.4789981474159801,1.1399999856948853,-0.25,0.0,-0.0625,0.125,-0.25,0.0,0.275,0.06875,0.1375,0.275,0.0,0.0,0.0,0.0,0.0,-0.6908,0.0,-0.1727,0.3454,-0.6908,0.725,1.0,0.93125,0.13749999,3.725,0.0,0.43333334,0.108333334,0.21666667,0.43333334
--Ymqszjv54.005.mp4,0.1499999761581421,0.989300012588501,0.5744999945163727,0.3636018998484528,2.2979999780654907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
-2qsCrkXdWs.001.mp4,0.10500001907348633,0.10500001907348633,0.10500001907348633,,0.10500001907348633,0.2,0.2,0.2,,0.2,0.0,0.0,0.0,,0.0,0.185,0.185,0.185,,0.185,0.7574,0.7574,0.7574,,0.7574,0.815,0.815,0.815,,0.815,0.2,0.2,0.2,,0.2
-55DRRMTppE.000.mp4,0.018400013446807858,0.9729999899864196,0.5365000069141388,0.4085376501434597,2.1460000276565547,-0.1875,0.6,0.14895834,0.33665663,0.59583336,0.0,0.111,0.02775,0.0555,0.111,0.0,0.42200000000000004,0.1055,0.21100000000000002,0.42200000000000004,0.0,0.7907,0.197675,0.39535,0.7907,0.466,1.0,0.8665,0.26700002,3.466,0.0,0.9,0.54583335,0.40078047,2.1833334
-55DRRMTppE.005.mp4,0.0,0.003499984741210937,0.0017499923706054688,0.002474862944559697,0.003499984741210937,0.0,0.1,0.05,0.07071068,0.1,0.0,0.11199999999999999,0.055999999999999994,0.07919596,0.11199999999999999,0.0,0.109,0.0545,0.07707464,0.109,-0.0314,0.0,-0.0157,0.022203151,-0.0314,0.78,1.0,0.89,0.1555635,1.78,0.0,0.76666665,0.38333333,0.54211515,0.76666665
-5riMLK-PgU.001.mp4,0.0006999969482421875,0.9991000294685364,0.3305714385850089,0.4658931726946922,2.3140000700950623,-0.31666666,0.43333334,-0.06904762,0.2613052,-0.48333335,0.0,0.228,0.032571428,0.086175896,0.228,0.0,0.452,0.064571425,0.17083994,0.452,-0.3947,0.5106,0.01655714,0.26286292,0.11589998,0.5479999999999999,1.0,0.9028571,0.17805938,6.32,0.0,0.73333335,0.37380952,0.30090252,2.6166668
-6otZ7M-Mro.000.mp4,0.0,0.9998000264167786,0.4265799999237061,0.5028125401616322,2.1328999996185303,0.0,0.8,0.22666667,0.3515047,1.1333333,0.0,0.0,0.0,0.0,0.0,0.0,0.369,0.0738,0.1650218,0.369,0.0,0.6249,0.124979995,0.27946377,0.6249,0.631,1.0,0.9262,0.16502182,4.631,0.0,0.75,0.33333334,0.32808366,1.6666666
-6otZ7M-Mro.001.mp4,0.00010001659393310548,0.025399982929229736,0.008533338705698649,0.014606942374171981,0.025600016117095947,-0.62083334,0.25,-0.23194444,0.44281167,-0.6958333000000001,0.08199999999999999,0.542,0.282,0.23579653,0.846,0.0,0.0,0.0,0.0,0.0,-0.7959999999999999,-0.1786,-0.52863336,0.31689277,-1.5859,0.45799999999999996,0.9179999999999999,0.718,0.23579651,2.154,0.475,1.0,0.7847221999999999,0.27494738,2.3541667
